                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88694,                 2.5279,                 3.4101,                 1.0517,                0.01514,                0.84994,                0.24249,                0.19263,                 0.0151,                0.85916,                0.23374,                0.15442,                0.59343,                 1.6164,                 3.4247,                 0.8891,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                0.78635,                 1.7216,                 2.8751,                 1.0141,                0.01282,                0.88972,                0.43187,                0.35627,                0.01274,                0.89384,                0.41012,                0.24932,                0.59778,                 1.7469,                 3.2229,                0.87908,             0.00017952,             0.00017952,             0.00017952
                      3,                0.77648,                  1.562,                 2.2013,                0.98619,                0.92638,                0.11346,                0.56294,                0.45909,                0.92638,                0.11346,                0.56005,                0.36193,                0.62141,                 1.5107,                  2.834,                0.89153,             0.00026026,             0.00026026,             0.00026026
                      4,                0.75481,                 1.4039,                 1.7279,                 1.0117,                0.79279,                0.28622,                0.57501,                0.47356,                0.79279,                0.28622,                0.57472,                 0.4013,                0.63558,                 1.2946,                 2.7119,                0.90129,             0.00033111,             0.00033111,             0.00033111
                      5,                0.78987,                 1.4882,                 1.5498,                 1.0146,                0.83367,                0.47807,                0.70311,                0.55594,                0.83308,                0.47749,                0.69985,                0.49135,                0.69929,                 1.3152,                 2.4604,                 0.9572,             0.00039205,             0.00039205,             0.00039205
                      6,                0.75494,                 1.4021,                 1.3551,                 0.9751,                0.77003,                0.64719,                 0.7712,                0.62756,                0.76797,                0.64466,                0.76942,                 0.5448,                0.67789,                  1.211,                 1.9384,                0.92048,             0.00044309,             0.00044309,             0.00044309
                      7,                 0.7399,                 1.3609,                 1.2674,                0.98889,                0.83876,                0.68795,                0.81664,                0.68058,                0.82838,                0.68508,                0.80783,                 0.5804,                0.65542,                 1.2559,                 1.6843,                0.91114,             0.00048424,             0.00048424,             0.00048424
                      8,                0.72685,                 1.3755,                  1.217,                  0.975,                0.83117,                0.66176,                0.82736,                0.68979,                0.82624,                 0.6567,                0.81908,                0.58827,                0.66214,                 1.2204,                 1.7367,                 0.9156,             0.00051549,             0.00051549,             0.00051549
                      9,                0.70108,                 1.3074,                 1.1755,                0.95653,                0.77879,                0.68531,                0.83687,                0.69377,                0.77559,                0.69851,                0.83333,                0.58849,                0.66239,                 1.2607,                 1.6899,                0.93592,             0.00053684,             0.00053684,             0.00053684
                     10,                0.68776,                 1.3197,                 1.1177,                0.95626,                 0.7973,                0.70042,                0.83434,                0.69488,                0.79041,                0.69753,                0.82753,                0.58031,                0.64737,                 1.2802,                 1.7677,                 0.9241,             0.00054828,             0.00054828,             0.00054828
                     11,                0.64893,                 1.2376,                 1.3695,                0.94437,                0.81045,                0.52518,                0.78321,                0.66608,                0.80737,                0.52012,                0.77888,                0.54393,                0.62236,                 1.2787,                 2.1486,                0.91051,             0.00054983,             0.00054983,             0.00054983
                     12,                0.62304,                 1.2268,                 1.4113,                0.94272,                0.78749,                0.72933,                0.84532,                0.68709,                0.78677,                0.73459,                0.84093,                 0.5852,                0.67528,                 1.2354,                 1.5992,                0.90516,             0.00050606,             0.00050606,             0.00050606
                     13,                0.66226,                 1.2485,                 1.2159,                0.94157,                0.81909,                0.82974,                0.89431,                0.74344,                 0.8385,                0.80274,                0.88956,                0.64337,                0.62905,                 1.1891,                 1.2342,                0.89684,             0.00050606,             0.00050606,             0.00050606
                     14,                0.61879,                 1.1862,                 1.1946,                0.91681,                0.87989,                0.84193,                0.92219,                0.77004,                0.87554,                 0.8365,                0.91599,                0.67371,                0.60694,                 1.1536,                 1.1737,                0.89035,             0.00045107,             0.00045107,             0.00045107
                     15,                0.60358,                 1.1296,                 1.1546,                0.92379,                0.85773,                0.87807,                0.94094,                0.79104,                0.85311,                0.87741,                0.94099,                 0.6934,                0.59185,                 1.0797,                 1.1541,                0.88895,             0.00039607,             0.00039607,             0.00039607
                     16,                 0.5882,                 1.1014,                 1.1629,                0.90794,                0.89442,                0.88264,                 0.9494,                0.81626,                0.89442,                0.88264,                0.94922,                0.70941,                0.56912,                 1.0718,                 1.0456,                0.87952,             0.00034108,             0.00034108,             0.00034108
                     17,                0.59922,                 1.1416,                 1.1068,                0.91783,                0.90515,                0.89696,                 0.9562,                 0.8246,                0.90515,                0.89696,                0.95581,                0.71326,                 0.5428,                 1.0596,                0.98865,                0.86861,             0.00028608,             0.00028608,             0.00028608
                     18,                0.56617,                  1.086,                  1.059,                0.90164,                0.90429,                0.92594,                0.96211,                0.83546,                0.90429,                0.92594,                0.96102,                0.72147,                 0.5296,                 1.0202,                0.94326,                0.86807,             0.00023109,             0.00023109,             0.00023109
                     19,                 0.5545,                 1.0781,                0.99851,                0.92008,                0.90125,                0.94157,                0.96882,                0.84342,                0.90125,                0.94157,                0.96716,                 0.7362,                0.52484,                0.99409,                0.91553,                0.86515,             0.00017609,             0.00017609,             0.00017609
                     20,                0.55063,                 1.0482,                 1.0061,                0.88657,                0.90817,                0.94949,                0.97522,                0.85461,                0.90817,                0.94949,                0.97296,                0.74835,                0.50823,                0.95484,                 0.8827,                0.85769,              0.0001211,              0.0001211,              0.0001211
